"Origen","Destino","Distancia","Tiempo"
"Manizales","Armenia",108,86
"Neiva","Bogota",300,233
"Neiva","Cali",381,385
"Neiva","Medellin",565,473
"Neiva","Barranquilla",1179,852
"Neiva","Cartagena",1221,942
"Neiva","Cucuta",891,656
"Neiva","Bucaramanga",691,521
"Neiva","Pereira",336,285
"Neiva","Santa Marta",1138,818
"Neiva","Ibague",207,162
"Neiva","Pasto",465,435
"Neiva","Manizales",393,330
"Neiva","Villavicencio",397,306
"Neiva","Armenia",289,251
"Villavicencio","Bogota",108,87
"Villavicencio","Cali",559,461
"Villavicencio","Medellin",527,431
"Villavicencio","Barranquilla",1117,809
"Villavicencio","Cartagena",1160,900
"Villavicencio","Cucuta",707,524
"Villavicencio","Bucaramanga",517,390
"Villavicencio","Pereira",418,356
"Villavicencio","Santa Marta",1076,775
"Villavicencio","Ibague",289,233
"Villavicencio","Pasto",860,736
"Villavicencio","Manizales",424,344
"Villavicencio","Neiva",397,303
"Villavicencio","Armenia",370,322
"Armenia","Bogota",274,250
"Armenia","Cali",188,144
"Armenia","Medellin",282,229
"Armenia","Barranquilla",985,750
"Armenia","Cartagena",940,720
"Armenia","Cucuta",789,610
"Armenia","Bucaramanga",590,475
"Armenia","Pereira",53,42
"Armenia","Santa Marta",1036,771
"Armenia","Ibague",87,96
"Armenia","Pasto",565,557
"Armenia","Manizales",110,87
"Armenia","Neiva",289,248
"Armenia","Villavicencio",371,323
